LONG,LAT,PROB,SEIZURE,YEAR,ORIGIN
13.66256522,2.706556232,0.147678703,A,2017,Nigeria
10.22335652,2.133354783,0.323982841,A,2017,Nigeria
11.36975942,2.133354783,0.270469254,A,2017,Nigeria
11.94296087,2.133354783,0.379691856,A,2017,Nigeria
14.23576667,3.279757681,0.439874587,A,2017,Nigeria
13.66256522,2.706556232,0.354641668,A,2017,Nigeria
14.23576667,3.279757681,0.690628163,A,2017,Nigeria
9.076953623,5.572563478,0.715288366,A,2017,Nigeria
10.22335652,2.706556232,0.309933732,A,2017,Nigeria
11.94296087,2.133354783,0.530819049,A,2017,Nigeria
10.22335652,2.706556232,0.483646572,A,2017,Nigeria
10.22335652,2.706556232,0.418174334,A,2017,Nigeria
10.22335652,2.133354783,0.542073455,A,2017,Nigeria
14.23576667,3.279757681,0.666794313,A,2017,Nigeria
9.076953623,5.572563478,0.931335736,A,2017,Nigeria
14.23576667,3.279757681,0.89406747,A,2017,Nigeria
10.22335652,2.133354783,0.316659859,B,2018,Nigeria
10.22335652,2.133354783,0.560790276,B,2018,Nigeria
9.650155072,5.572563478,0.142638243,B,2018,Nigeria
10.22335652,2.133354783,0.221495446,B,2018,Nigeria
13.66256522,4.999362029,0.283898684,B,2018,Nigeria
14.23576667,3.279757681,0.694126939,B,2018,Nigeria
10.79655797,2.133354783,0.197111836,B,2018,Nigeria
9.076953623,5.572563478,0.913862596,B,2018,Nigeria
13.66256522,3.85295913,0.037464841,B,2018,Nigeria
11.36975942,2.133354783,0.155585817,B,2018,Nigeria
10.22335652,2.133354783,0.437880174,B,2018,Nigeria
10.22335652,2.133354783,0.169117769,B,2018,Nigeria
9.076953623,5.572563478,0.993370984,B,2018,Nigeria
10.22335652,2.133354783,0.237722313,B,2018,Nigeria
9.076953623,5.572563478,0.713990567,B,2018,Nigeria
13.66256522,4.999362029,0.109859471,B,2018,Nigeria
14.23576667,3.279757681,0.729626813,B,2018,Nigeria
14.23576667,3.279757681,0.349205263,B,2018,Nigeria
14.23576667,3.279757681,0.307160739,B,2018,Nigeria
14.23576667,3.279757681,0.713271025,B,2018,Nigeria
13.66256522,2.706556232,0.073783529,B,2018,Nigeria
10.22335652,2.706556232,0.369579983,B,2018,Nigeria
10.22335652,2.133354783,0.57897457,B,2018,Nigeria
9.650155072,4.999362029,0.066268709,B,2018,Nigeria
10.22335652,2.706556232,0.311452738,B,2018,Nigeria
11.36975942,2.133354783,0.327806897,B,2018,Nigeria
10.22335652,2.133354783,0.424393598,B,2018,Nigeria
11.36975942,2.133354783,0.334515184,B,2018,Nigeria
11.94296087,2.133354783,0.205219049,B,2018,Nigeria
9.076953623,5.572563478,0.59705696,B,2018,Nigeria
11.36975942,2.133354783,0.277327367,B,2018,Nigeria
11.94296087,2.133354783,0.550190614,B,2018,Nigeria
13.66256522,4.999362029,0.088084018,B,2018,Nigeria
11.36975942,2.133354783,0.347641097,B,2018,Nigeria
14.23576667,3.279757681,0.9146703,B,2018,Nigeria
